#,Status,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
390,Resolved,Bug,Normal, ITAPS shared libraries not included when doing a make package. ,Mark Miller,-,2.1.1,Eric Brugger,09/14/2010,,0%,,09/14/2010 05:28 pm,10/26/2010 07:19 pm,3 - Occasional,2 - Minor Irritation,trunk,,,All,Any,"
make package doesn't package up the ITAPS shared libraries, so when VisIt is run there are error message at startup about missing shared libraries and of course the ITAPS plugins won't work. This can be fixed by either installing only static libraries or fixing the make package script so that it packages up the shared libraries. I guess either way works. It seems like doing the static libraries would be easier. I ran into this problem both on yana and hoth and I moved the shared libriares into a directory named shared and the problem went away.
"
391,Rejected,Feature,Normal, Replace individual plot attr's min/max settings with new variable attr's min/max settings ,-,-,-,Mark Miller,09/14/2010,,0%,,09/14/2010 10:35 pm,09/21/2010 08:44 pm,,,2.12.3,3 - Medium,3 - Occasional,All,DOE/ASC,"
Several plot's attributes include min/max settings to set the data range for the variable being displayed. However, this notion is associated more with the variable itself than with the plot. As user's change variables in a plot, they constantly have to re-adjust the min/max values.
One way to 'fix' the current way we do business is for the GUI to cache plot attributes per-variable such that if a plots attributes are adjusted, the variable is changed and then set back, the user will get whatever settings they last set for that variable. That would certainly address the user request (from Al Nichols), that triggered this ticket.
Thinking more broadly though...
We already have variable attributes as per avtXXXMetaData objects. In fact, I believe these even offer the ability to specify the variables 'extents'. Why not create user-adjustable equivalents of 'variable attributes' so that users can 'do things' on a per-variable attributes basis that make sense. Certainly, setting min/max values is one such thing. I don't know but maybe setting things like precision (e.g. float/double), error bars (e.g. uncerttainty), default color map, etc., might be useful as well.
"
392,Pending,Feature,Normal, would like auto data limits mode ,-,-,-,Mark Miller,09/15/2010,,0%,,09/15/2010 10:22 am,09/22/2010 01:30 pm,,,2.12.3,3 - Medium,3 - Occasional,All,DOE/ASC,"
As users move back and forth through time or between different databases sharing the same variable(s), user would like an option to have the data limits for a variable update automatically to whatever the min/max range is over all that have been seen to that point.
I thought we already handled this across time. But, user says it does not happen. At any rate, I am fairly certain we do not maintain it across different databases. It sounds like a different swizzle on the 'min' 'max' entries we current use in various plot attributes (and maybe legends) that means 'max over all that have been seen' instead of 'max of current input/view'
User requesting this was Al Nichols
"
393,Pending,Feature,Normal, Add multi-line text for text  annotation objects (2D and 3D) ,-,-,-,Bob Corey,09/15/2010,,0%,,09/15/2010 05:26 pm,09/22/2010 01:29 pm,,,2.12.3,3 - Medium,3 - Occasional,All,Any,"
Creating multi-line text objects requires creating a new object for each line and placing each line.
I would like to place a control character in the line (ie \n) to have a single text object with multiplelines - a justify option would also be nice (left/center/right)
"
394,Expired,Bug,Normal, silex is not installed right for Silo 4.8 ,-,-,-,Brad Whitlock,09/17/2010,,0%,,09/17/2010 01:33 pm,12/19/2013 03:44 pm,3 - Occasional,3 - Major Irritation,trunk,,,All,Any,"
I tried running silex on alastor from Silo 4.8 and it didn't work because libsiloh5.so was not found. I noticed that libsiloh5.so is installed in a libso directory instead of in a lib directory. If I had to guess, I'd say it was built so it linked with a libsiloh5.so in lib but then things were installed differently, breaking the rpath used to find libsiloh5.so. I also noticed that Silo 4.7.2's silex appeared to link against a static Silo library so it did not have any problems. Bottom line: silex doesn't work without setting the LD_LIBRARY_PATH. I also noticed that various $SYS_TYPE symlinks were missing.
alastor1{whitlocb}40: ldd /usr/gapps/silo/4.8/chaos_4_x86_64/bin/silex    libsiloh5.so => not found    libQtGui.so.4 => /usr/gapps/visit/qt/4.4.3/chaos_4_x86_64_gcc_4.1.2/lib/libQtGui.so.4 (0x00002aaaaacc8000)    libpng12.so.0 => /usr/lib64/libpng12.so.0 (0x00002aaaab7c5000)    libSM.so.6 => /usr/lib64/libSM.so.6 (0x00002aaaab9ea000)    libICE.so.6 => /usr/lib64/libICE.so.6 (0x00002aaaabbf4000)    libQtCore.so.4 => /usr/gapps/visit/qt/4.4.3/chaos_4_x86_64_gcc_4.1.2/lib/libQtCore.so.4 (0x00002aaaabe0f000)    libgthread-2.0.so.0 => /lib64/libgthread-2.0.so.0 (0x00002aaaac23b000)    libglib-2.0.so.0 => /lib64/libglib-2.0.so.0 (0x00002aaaac43f000)    librt.so.1 => /lib64/librt.so.1 (0x00002aaaac6dd000)    libpthread.so.0 => /lib64/libpthread.so.0 (0x00002aaaac8e7000)    libXi.so.6 => /usr/lib64/libXi.so.6 (0x00002aaaacb02000)    libXrender.so.1 => /usr/lib64/libXrender.so.1 (0x00002aaaacd0a000)    libXrandr.so.2 => /usr/lib64/libXrandr.so.2 (0x00002aaaacf14000)    libfreetype.so.6 => /usr/lib64/libfreetype.so.6 (0x00002aaaad117000)    libfontconfig.so.1 => /usr/lib64/libfontconfig.so.1 (0x00002aaaad39b000)    libXext.so.6 => /usr/lib64/libXext.so.6 (0x00002aaaad5d0000)    libX11.so.6 => /usr/lib64/libX11.so.6 (0x00002aaaad7e1000)    libdl.so.2 => /lib64/libdl.so.2 (0x00002aaaadaed000)    libz.so.1 => /usr/lib64/libz.so.1 (0x00002aaaadcf2000)    libsz.so.2 => /usr/gapps/silo/szip/2.1/chaos_4_x86_64/lib/libsz.so.2 (0x00002aaaadf06000)    libstdc++.so.6 => /usr/lib64/libstdc++.so.6 (0x00002aaaae119000)    libm.so.6 => /lib64/libm.so.6 (0x00002aaaae41a000)    libgcc_s.so.1 => /lib64/libgcc_s.so.1 (0x00002aaaae69d000)    libc.so.6 => /lib64/libc.so.6 (0x00002aaaae8ab000)    /lib64/ld-linux-x86-64.so.2 (0x00002aaaaaaab000)    libexpat.so.0 => /lib64/libexpat.so.0 (0x00002aaaaec03000)    libXau.so.6 => /usr/lib64/libXau.so.6 (0x00002aaaaee25000)    libXdmcp.so.6 => /usr/lib64/libXdmcp.so.6 (0x00002aaaaf028000)
"
395,Resolved,Feature,Normal, Add --fortran build_visit option to enable fortran bindings in 3rd party libraries when they are available. ,Mark Miller,-,2.4,Brad Whitlock,09/20/2010,,100%,3.00 hours,09/20/2010 12:10 pm,08/03/2011 01:16 pm,,,2.12.3,2 - Low,3 - Occasional,All,Any,"
Add --fortran build_visit option to enable fortran bindings in 3rd party libraries when they are available. This was requested by an external user. Another user also wanted an option to enable C++ bindings when available. I think this affects Silo, NETCDF, hdf5. There may be others.
I think the guy that wanted this should do the work.
"
396,Rejected,Feature,Normal, Allow conversion/expressions for time states ,-,-,-,Cyrus Harrison,09/20/2010,,0%,,09/20/2010 06:11 pm,09/22/2010 04:56 pm,,,2.12.3,2 - Low,2 - Rare,All,DOE/ASC,"
David Cotrell @ LLNL wants to execute a query over time and save an output file that provides time units that differ from the original database's time units. Like what would probably be though of as a ""time expression""
"
397,Resolved,Bug,Normal, Patch selection broken in parallel for a silo amr dataset ,Cyrus Harrison,-,2.1.1,Cyrus Harrison,09/20/2010,,0%,,09/20/2010 06:19 pm,09/23/2010 03:50 pm,4 - Common,4 - Crash / Wrong Results,2.1.0,,,All,DOE/ASC,"
Dataset from Brian Ryujin
"
398,Resolved,Bug,Normal, Fix args passing for python queries ,Cyrus Harrison,-,2.1.1,Cyrus Harrison,09/21/2010,,0%,,09/21/2010 02:48 pm,09/21/2010 04:06 pm,3 - Occasional,3 - Major Irritation,2.1.0,,,All,DOE/ASC,"
When I added support for the 'args' keyword to PythonQuery, this introduced some pipeline confusion that can prevent a python query from executing correctly.
"
399,Resolved,Bug,Normal, Possible data target dependency issue when Silo is updated ,-,-,-,Cyrus Harrison,09/21/2010,,0%,,09/21/2010 03:12 pm,10/01/2010 05:20 pm,2 - Rare,2 - Minor Irritation,trunk,,,All,DOE/ASC,"
I am not sure if this indicates some strange dependency issue, but I have run into this more than once.
I updated my trunk on alastor (which included a config-site change that updated the ver of Silo used) & ran make.
I get errors about missing Silo symbols for some of the data examples.
[  8%] Built target xml2pythonCMakeFiles/arbpoly.dir/arbpoly.C.o: In function `main':/g/g24/cyrush/dev/trunk/data/arbpoly.C:84: undefined reference to `Silo_version_4_8'collect2: ld returned 1 exit statusgmake2: * [/g/g24/cyrush/dev/trunk/data/arbpoly] Error 1gmake1:  [/g/g24/cyrush/dev/trunk/data/CMakeFiles/arbpoly.dir/all] Error 2gmake1: *"
400,Resolved,Feature,Normal, Add better warning message when invalid variable is passed to a python query ,Cyrus Harrison,-,2.1.1,Cyrus Harrison,09/21/2010,,0%,,09/21/2010 04:20 pm,10/28/2010 04:48 pm,,,2.12.3,3 - Medium,3 - Occasional,All,DOE/ASC,"
If you pass a bogus variable to a python query, you will recv ""query was asked to execute on an empty dataset"" - we need to bring the name of the invalid var into this message to reduce head scratching.
"
401,Developer Review,Bug,Normal, molecule plot / display lists / md dataset ,-,-,-,John Schreiner,09/21/2010,,0%,,09/21/2010 06:46 pm,11/02/2010 02:56 pm,3 - Occasional,2 - Minor Irritation,2.0.1,,,All,Any,"
I have run into an issue when using a molecule plot on a MD dataset.  I believe it happens when visit decides to use display lists.  If I have a mocule plot with atoms in different domains, sometimes only the atoms of certain domains will show up (maybe just either the first or last domain?).  I've found three ways to work around it:
- tell visit to never use display lists- tell visit to always use scalable rendering- set the molecule plot to use impostors for the atoms
"
402,Resolved,Bug,High, Cracks Clipper is broken in 2.x ,Kathleen Biagas,-,2.1.1,Kathleen Biagas,09/22/2010,,0%,,09/22/2010 12:54 pm,09/29/2010 02:53 pm,3 - Occasional,4 - Crash / Wrong Results,2.0.0,,,All,Any,"
The CracksClipper operator no longer works, as of 2.0.Greg Burton has need of this functionality, and would like it fixed asap.
"
403,Pending,Bug,Low, Add more helpful info to 'frontendlauncher' warnings ,Eric Brugger,-,-,Cyrus Harrison,09/22/2010,,0%,,09/22/2010 07:08 pm,09/21/2011 04:17 pm,2 - Rare,1 - Not Serious,2.1.0,,,All,Any,"
Amit Chourasia had a problem launching Visit and due to the warning messages though that frontendlauncher was the proper way to launch Visit - instead of using the 'visit' link. We should clarify this some how in these warning messages.
We also have other instances where the warning/error messages are confusing - for example when the user has 64-bit machine but a 32-bit arch is installed or vice versa.
"
404,Resolved,Bug,Normal, Fortran equivalent to BPutQuadvar omitted in documentation ,-,-,-,Olivier Cessenat,09/23/2010,,0%,,09/23/2010 02:22 pm,02/27/2014 01:04 am,3 - Occasional,2 - Minor Irritation,trunk,,,All,Any,"
Silo 4.8 documentation about DBPutQuadvar omits it's Fortran equivalent.I, suggest you write page 2-85 (105 of 331):<<int DBPutQuadvar (DBfile *dbfile, char *name, char *meshname,int nvars, char *varnames[], void *vars[], int dims[], int ndims, void*mixvars[],int mixlen, int datatype, int centering, DBoptlist *optlist)
Fortran Equivalent:integer function dbputqv(dbid, name, lname, meshname, lmeshname,nvars, varnames, lvarnames, var, dims, ndims, mixvar, mixlen, datatype,centering, optlist_id, status)where : - varnames contains the names of the variables either in a matrix ofcharacters form (if fortran2DStrLen is non null) or in a vector ofcharacters form (if fortran2DStrLen is null) with the varnames lengthbeing found in the lvarnames integer array, - var contains the values of the vector in a raw, first values beingthe first direction, then second direction and so forth.

Of course my English is not the best, feel free to improve it !

"
405,New,Bug,Normal, Missing version info in libsiloh5.dylib on MAC OSX ,-,-,-,Olivier Cessenat,09/23/2010,,0%,,09/23/2010 03:35 pm,,3 - Occasional,2 - Minor Irritation,4.7.2,,,All,Any,"
When compiling VisIt 2.1.0 on MacOSX 10.4, I get the error:<<Scanning dependencies of target create_data_examples[ 98%] Generating curv2d.silo, curv2d_colmajor.silo, curv3d.silo,curv3d_colmajor.silo, poly3d.silo, rect2d.silo, rect3d.silo, ucd2d.silo,ucd3d.silodyld: Library notloaded: /tmp/visit/silo/4.7.2/i386-apple-darwin8_gcc-4.0/lib/libsiloh5.dylib  Referenced from: /tmp/visit2.1.0/data/./testall  Reason: Incompatible library version: testall requires version 4.7.2or later, but libsiloh5.dylib provides version 0.0.0make2: * [/tmp/visit2.1.0/data/curv2d.silo] Error 133make1: [/tmp/visit2.1.0/data/CMakeFiles/create_data_examples.dir/all] Error 2make: *"
406,Resolved,Bug,Normal, Quoting strings breaks movie wizard & templates ,Brad Whitlock,-,2.1.1,Cyrus Harrison,09/27/2010,,0%,,09/27/2010 01:17 pm,10/28/2010 07:06 pm,4 - Common,4 - Crash / Wrong Results,2.1.0,,,All,Any,"
The unconditional addition of quotes string nodes in our xml state files has some bad side effects:
1) Settings (such as expressions) saved in the current version of visit will not work with previous versions2) The movie wizard & movie templates parse the xml using python & don't have magic to remove the quotes, which breaking these components.
"
407,Resolved,Bug,Normal, Help text wrong for Python function SetOperatorOptions ,Mark Miller,-,2.1.1,Brad Whitlock,09/28/2010,,0%,0.20 hour,09/28/2010 01:53 pm,10/26/2010 07:28 pm,2 - Rare,1 - Not Serious,2.0.2,,,All,Any,"
The help text is wrong for the SetOperatorOptions function. The ""Oi"" case is not for (atts,all) as indicated in the help text. The ""Oi"" case is now for (atts,activeIndex) where activeIndex is an index used to identify the ith operator on the plot.
"
408,Pending,Bug,Normal, VisIt hangs while trying to list a directory while opening or saving a session file ,Eric Brugger,-,-,Daniel Laney,09/28/2010,,0%,,09/28/2010 06:55 pm,11/02/2010 02:59 pm,3 - Occasional,2 - Minor Irritation,2.0.1,,,All,Any,"
On alastor.llnl.gov, I was able to make VisIt 2.0.X hang by attempting to save a session file.  I generated some pseudocolor plots, then clicked save session, the save dialog comes up but never activates.  It appears VisIt is trying to list the directory contents.
This also happens when trying to read a session file. I have attached the session file I was using.
"
409,Developer Review,Bug,Normal, pseduocolor plot - point cloud scaling by variable ,-,-,-,Allen Sanderson,09/30/2010,,0%,,09/30/2010 03:58 pm,11/02/2010 03:00 pm,3 - Occasional,4 - Crash / Wrong Results,trunk,,,All,Any,"
I have a pseudo color plot that is plotting a point cloud of data. If I select the point type to be icosahedron and scale by the default variable. Sometimes I get the correct result. Sometimes I get nothing. When I get the correct result and go to another time step I typically get nothing. If I go back to the time step where the result was correct previously I get nothing. As such, it seems like the scaling feature has some problems. Oddly with another data set it seems to be working okay.
I can easily supply a test data set and session file.
"
410,Resolved,Bug,Low," when exiting the browser, an erroneous ***ERROR*** is reported ",Mark Miller,-,4.9.2,Jakob van Bethlehem,10/01/2010,,0%,,10/01/2010 04:51 am,12/19/2013 03:23 pm,2 - Rare,1 - Not Serious,4.7.2,,,Linux,Any,"
when exiting the browser, an ERROR"
411,Rejected,Bug,Normal, Discontinuities across domains of mili database ,-,-,-,Cyrus Harrison,10/01/2010,,0%,,10/01/2010 12:34 pm,10/01/2010 05:02 pm,3 - Occasional,2 - Minor Irritation,2.1.0,,,All,DOE/ASC,"
Ed Kokko is having problems plotting a mili dataset.
There aren't holes in the mesh but instead it appears the mesh has ""slipped"" in one direction (See the attached image.)
This appears in both VisIt 2.x & 1.x  - he tried 2.1, 2.0.2 & 1.12.2.
"
412,Pending,Bug,Normal, Surfaces with negative values are not rendered at the correct height. ,-,-,-,mark connolly,10/04/2010,,0%,,10/04/2010 01:46 pm,03/28/2011 06:40 pm,3 - Occasional,2 - Minor Irritation,2.0.1,,,All,Any,"
VisIt 2.02, svn revision 12113Ubuntu 10.04Kernel 2.6.32-25-genericGCC 4.4.3 (i486-linux-gnu)
Consider the dataset below (copy and paste)Read in the data as PlainText, data layout 1D Columns, skip 0 lines, first row has variable names, X = 0, Y = 1, Z = -1.
Add surface plot for variable krige.  Rendered surface in positive Z region, though all values of krige are negative.
Add surface plot using variable bmin (constant negative value). Add surface plot using variable tmax (constant negative value). First surface plot should be between these, but is shifted into positive z space.  Interestingly, they variables are plotted correctly.
Workaround
Set surface plot attributes for first surface (variable krige).  Check Minimum with default 0 value. Surface shifts to where it belongs.
x        y   krige bmin tmax740320.3 181328.7 -361.01 -365 -355740320.3 181331.8 -360.98 -365 -355740320.3 181335.0 -360.95 -365 -355740320.3 181338.2 -360.92 -365 -355740320.3 181341.4 -360.89 -365 -355740320.3 181344.5 -360.86 -365 -355740320.3 181347.7 -360.82 -365 -355740324.6 181328.7 -361.28 -365 -355740324.6 181331.8 -361.25 -365 -355740324.6 181335.0 -361.22 -365 -355740324.6 181338.2 -361.19 -365 -355740324.6 181341.4 -361.15 -365 -355740324.6 181344.5 -361.12 -365 -355740324.6 181347.7 -361.09 -365 -355740328.8 181328.7 -361.56 -365 -355740328.8 181331.8 -361.53 -365 -355740328.8 181335.0 -361.50 -365 -355740328.8 181338.2 -361.47 -365 -355740328.8 181341.4 -361.44 -365 -355740328.8 181344.5 -361.40 -365 -355740328.8 181347.7 -361.37 -365 -355740333.1 181328.7 -361.86 -365 -355740333.1 181331.8 -361.83 -365 -355740333.1 181335.0 -361.80 -365 -355740333.1 181338.2 -361.77 -365 -355740333.1 181341.4 -361.73 -365 -355740333.1 181344.5 -361.70 -365 -355740333.1 181347.7 -361.67 -365 -355740337.4 181328.7 -362.17 -365 -355740337.4 181331.8 -362.14 -365 -355740337.4 181335.0 -362.11 -365 -355740337.4 181338.2 -362.08 -365 -355740337.4 181341.4 -362.05 -365 -355740337.4 181344.5 -362.02 -365 -355740337.4 181347.7 -361.99 -365 -355
"
413,Pending,Feature,Normal,  Provide cumulative vs instantaneous view mode ,Eric Brugger,-,-,Cyrus Harrison,10/04/2010,,0%,,10/04/2010 06:04 pm,09/21/2011 04:17 pm,,,2.1.0,3 - Medium,3 - Occasional,All,DOE/ASC,"
Gary Kerbel has Lineout window time-locked to the source plot. As he steps though time he wants the axes in lineout window to reflect the current extents. An instantaneous extents mode would provide this.
"
414,Resolved,Bug,Normal, 'VarLocation' of TecPlot input  ,Jeremy Meredith,-,2.1.1,cean wang,10/05/2010,,0%,,10/05/2010 07:17 pm,10/26/2010 05:55 pm,5 - Always,2 - Minor Irritation,2.1.0,,,All,Any,"
The Tecplot file loader need to be updated.
At the moment it only supports like:VarLocation=(Nodal, Nodal,CellCentered,CellCentered)
but not: VarLocation=([1,2]=Nodal,[3-4]=CellCentered)
"
415,Resolved,Bug,Normal, GUI Bug with Subset Panel ,Brad Whitlock,-,2.1.1,Bob Corey,10/06/2010,,0%,1.00 hour,10/06/2010 07:37 pm,10/12/2010 03:04 pm,3 - Occasional,2 - Minor Irritation,2.0.1,,,All,Any,"
With Auto Apply selected, the All Sets and Selected Sets buttons do not cause an update of the render window. The sets are checked or unchecked but no changein the render window. The render window will update if you do not use the Allor Selected Sets buttons.
"
416,Resolved,Bug,Normal, Pixie or Vs DB causing HDF5 errors ,Mark Miller,-,2.1.1,Tom Fogal,10/07/2010,,50%,,10/07/2010 05:24 pm,11/04/2010 05:24 pm,5 - Always,2 - Minor Irritation,2.1.0,,,Linux,Any,"
I ran VisIt with -noconfig -o ~/data/nimrod/phi_BT.h5 and got this on my terminal:
HDF5-DIAG: Error detected in HDF5 (1.8.4) thread 0:   #000: H5G.c line 397 in H5Gopen2(): unable to open group     major: Symbol table     minor: Can't open object   #001: H5G.c line 947 in H5G_open_name(): group not found     major: Symbol table     minor: Object not found   #002: H5Gloc.c line 468 in H5G_loc_find(): can't find object     major: Symbol table     minor: Object not found   #003: H5Gtraverse.c line 877 in H5G_traverse(): internal path traversal failed     major: Symbol table     minor: Object not found   #004: H5Gtraverse.c line 703 in H5G_traverse_real(): traversal operator failed     major: Symbol table     minor: Callback failed   #005: H5Gloc.c line 423 in H5G_loc_find_cb(): object doesn't exist     major: Symbol table     minor: Object not found E: H5PartSetStep: Cannot open group ""Step#0"". HDF5-DIAG: Error detected in HDF5 (1.8.4) thread 0:   #000: H5G.c line 397 in H5Gopen2(): unable to open group     major: Symbol table     minor: Can't open object   #001: H5G.c line 947 in H5G_open_name(): group not found     major: Symbol table     minor: Object not found   #002: H5Gloc.c line 468 in H5G_loc_find(): can't find object     major: Symbol table     minor: Object not found   #003: H5Gtraverse.c line 877 in H5G_traverse(): internal path traversal failed     major: Symbol table     minor: Object not found   #004: H5Gtraverse.c line 703 in H5G_traverse_real(): traversal operator failed     major: Symbol table     minor: Callback failed   #005: H5Gloc.c line 423 in H5G_loc_find_cb(): object doesn't exist     major: Symbol table     minor: Object not found Running: engine_ser -host 127.0.0.1 -port 5600 -dv
This does not happen if I run w/o -o and then select H5Nimrod as the file type in the open dialog.
This comes from the mdserver.  I ran with -norun engine_ser, and saw the errors before I launched the engine.  mdserver log attached.
This wasn't the 2.1.0 release, it was r12701.
"
417,Expired,Bug,High," Viewer does not refresh on powerwall, can cause X Server to crash ",Eric Brugger,-,-,Kathleen Biagas,10/07/2010,,0%,,10/07/2010 05:26 pm,04/02/2014 05:38 pm,3 - Occasional,4 - Crash / Wrong Results,2.1.0,,,All,DOE/ASC,"
Steve MacLaren and his group use the B111 powerwall regularly (standing meeting every two weeks). They generally log into an LC resource through a DMX console and display back to the powerwall. VisIt 1.12 functions well, 2.x does not.
The viewer does not refresh.  Exiting VisIt crashes the X server. (CTRL-C'ing from the command line to kill VisIt does not crash the X server).
Running -cli -nowin and saving windows works fine.
They would like to use the latest version of VisIt, so getting this fixed asap is a priority to them.
A couple of excerpts from the glxinfo in the viewer log (apologies if I did not capture enough info):
OpenGL version string: 2.12 NVIDIA 173.14.72server glx version string 1.4client glx version string 1.3 client glx vendor string: SGI DMX
"
418,Resolved,Bug,High, ThreeSlice crashes on MIR data if one material is disabled and there are blocks that are completely turned off ,Jeremy Meredith,-,2.1.1,Gunther Weber,10/07/2010,,0%,,10/07/2010 07:00 pm,10/08/2010 05:44 pm,5 - Always,4 - Crash / Wrong Results,trunk,,,All,DOE/SciDAC,"
An APDEC/ANAG user encountered a problem with using the ThreeSlice operator together with material interface reconstruction. As soon as he turned of one of the materials, the VisIt engine will crash.
Due to its size, I cannot upload the file. It is available at /project/projectdirs/visit/plot.nx128.step0000375.3d.hdf5.gz on NERSC machines.
Reproducing the problem:- Open dataset- Create Pseudocolor plot of any variable (e.g. ""temperature-fluid"")- Add ThreeSlice operator- Go to material selection, disable mat2- Draw plot-> Engine crashes
Additional information:- At least once, the crash seemed to occur when a GetCell call on a vtkDataSet return 0 as result (even though GetNumberOfCells returned a value different from zero)- Using the ""-dump"" option, I did get data sets with point data but with no ""CELLS"" keyword/information. These data sets seemed to correspond to domains that are comprised entirely of the material that is turned off.-> This leads me to believe that it may be related to optimizations we added for handling domains in a data set that are comprised entirely of a single material.
I found the problem both in 2.0.1 and the current trunk. I also reproduced the problem on Linux (64bit) and MacOS (10.6-64bit).
"
419,Resolved,Bug,Normal, DBCreate segfaults when it fails to open the file when using the PDB driver ,Mark Miller,-,4.9,Jakob van Bethlehem,10/08/2010,,0%,0.25 hour,10/08/2010 07:27 am,08/29/2012 02:21 pm,2 - Rare,4 - Crash / Wrong Results,4.7.2,,,All,Any,"
Suppose I have the following:string const dbname(""output/3d_outplace.silo"");
And somewhere along in the code:DBfile *silodb = DBCreate(dbname.c_str(), DB_NOCLOBBER, DB_LOCAL, NULL, DB_PDB);
Now suppose that the directory 'output' doesn't exist yet. In that case the file can't be created. When using the DB_PDB as above, a 'Segmentation fault' results.However, if I do the same with the HDF5 driver:
DBfile *silodb = DBCreate(dbname.c_str(), DB_NOCLOBBER, DB_LOCAL, NULL, DB_HDF5);
In this scenario a clear errormessage results and the program continuous, allowing to check for NULL on this pointer and deal with it accordingly:DBCreate: File not found or invalid permissions: output/3d_outplace.silo
I'd suspect this is a bug in the standard PDB driver. A simple work-around is to use the HDF5 driver, even though that introduces (maybe unwanted) dependencies into the code.
Other info:$ uname -aLinux feynman 2.6.18-194.17.1.el5 #1 SMP Wed Sep 29 12:50:31 EDT 2010 x86_64 x86_64 x86_64 GNU/Linux
$ g++ --versiong++ (GCC) 4.1.2 20080704 (Red Hat 4.1.2-48)
Invocation of ./configure script with HDF5:$ ./configure --prefix=$STOWDIR/silo-4.7.2_h5/ --enable-silex --enable-browser --with-hdf5=$MYSOFT/include,$MYSOFT/lib
For the PDB version it doesn't make a difference if the library was built with or without the HDF5 driver (eg: I have tried both methods and they give the same outcome)
"
420,Resolved,Feature,Normal, Support for Curves in Spreadsheet plot ,Brad Whitlock,-,2.2,Cyrus Harrison,10/13/2010,,0%,,10/13/2010 05:31 pm,12/16/2010 03:08 pm,,,2.12.3,3 - Medium,3 - Occasional,All,DOE/ASC,"
Matt O'Brien wanted to view a curve in the spreadsheet plot.The expectation is that it will show the x & y values of the curve.
Note: If you simply change Spreadsheet.xml to support curves & regen the plug info. This will allow you to view the y values as a 1-d structured grid, further modifications are necessary to show the x-coordinates.
"
421,Resolved,Feature,Normal, Tie version-named build_visit instances to proper release tag? ,Cyrus Harrison,-,2.1.1,Cyrus Harrison,10/13/2010,,0%,,10/13/2010 05:35 pm,10/27/2010 01:06 pm,,,2.12.3,3 - Medium,3 - Occasional,All,Any,"
When using the svn modes, build_visit will always check out VisIt trunk, however we have released versions of build_visit named ""build_visit_2_0_1"", which create an expectation that they actually build a specific version. Things get confusing as the trunk src diverges from the released version of the build_visit script.  In the future should we peg these type of scripts to a  specific RC tag?
"
422,Developer Review,Feature,Low, AMRVis visual spreadsheets ,-,-,-,Gunther Weber,10/13/2010,,0%,,10/13/2010 06:03 pm,11/02/2010 03:03 pm,,,2.12.3,3 - Medium,3 - Occasional,All,Any,"
The Spreadsheet plot in VisIt behaves like the ChomboVis spreadsheets in that it shows a single box/patch. AMRVis had some capbilities were a spreadsheet is more a slice to the data and can show transitions between levels. More information about this topic can be found here: http://www.sci.utah.edu/vacetwiki/images/4/47/Visual_spreadsheets.doc
NOTE: This is a VACET project that has been delayed for quite a while. Before possibly starting the issue should be re-evaluated with LBNL CCSE.
"
423,Resolved,Feature,Normal, Check Plot3D support along with VTK Upgrade ,Kathleen Biagas,-,2.8,Cyrus Harrison,10/13/2010,,0%,,10/13/2010 06:04 pm,08/20/2014 02:23 am,,,2.12.3,2 - Low,2 - Rare,All,Any,"
When we upgrade VTK we should check if the new version has a reader that supports Plot3D files with fortran binary data.
"
424,Pending,Feature,Normal, Improved ghost data creation for AMR data ,-,-,-,Gunther Weber,10/13/2010,,0%,,10/13/2010 06:07 pm,11/02/2010 03:03 pm,,,2.12.3,3 - Medium,3 - Occasional,All,Any,"
Some discontinuities were noted with AMR data attributed to poor handling of ghost data. After searching, there is a fundamental problem with VisIt's ghost data generation routines. It assumes that patches align such that AMR patches share complete boundary faces, which is not a valid assumption. This came out recently from a conversation with Jeremy Meredith, who wrote the original version. His comment was ""back to the drawing board"" with respect to the original implementation. Estimate: 6 weeks. Is this our chance to fix general t-junction problem at coarse/fine level boundaries? Estimate: 3 months)
NOTE: It may make sense to address this issue together with ghost data generation for the AMR Stitch cell operator.
"
425,Pending,Bug,Normal," 2D mesh and pseudocolor plot Z-fights, covering the Mesh plot. ",Eric Brugger,-,-,Tom Fogal,10/13/2010,,0%,,10/13/2010 06:23 pm,09/21/2011 04:18 pm,4 - Common,2 - Minor Irritation,trunk,,,All,Any,"
Jean Favre demonstrated a case where a mesh plot and a pseudocolor plot in the same window will only show the pseudocolor.
The issue seems limited to 2D data.  It only happens when he saves a window, and ""Screen capture"" fixes it.  Elevating both plots to 3D with the mesh plot a bit above the pseudocolor plot also seems to fix the problem.  Thus we suspect Z-fighting.
See the attached image -- note the two plots in the legend on the left, yet the mesh is clearly not visible.
He is using the trunk, r12720.
"
426,Resolved,Feature,Normal, Add execution timeout control for engine to 2.1RC for 2.1.1 release ,Mark Miller,-,2.1.1,Mark Miller,10/14/2010,,0%,0.10 hour,10/14/2010 12:39 am,10/25/2010 01:59 pm,,,2.12.3,3 - Medium,3 - Occasional,All,Any,"
Ed Kokko needs this feature. Its on the trunk but I don't think its on the 2.1RC.
"
